url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201312010MIA.html	6:00 pm	Miami Heat		Charlotte Bobcats		
/boxscores/201312010NYK.html	7:30 pm	New York Knicks		New Orleans Pelicans		
/boxscores/201312010OKC.html	7:00 pm	Oklahoma City Thunder		Minnesota Timberwolves		
/boxscores/201312010SAC.html	6:00 pm	Sacramento Kings		Golden State Warriors		
/boxscores/201312010TOR.html	1:00 pm	Toronto Raptors		Denver Nuggets		
/boxscores/201312020CHI.html	8:00 pm	Chicago Bulls		New Orleans Pelicans		
/boxscores/201312020POR.html	10:00 pm	Portland Trail Blazers		Indiana Pacers		
/boxscores/201312020SAS.html	8:30 pm	San Antonio Spurs		Atlanta Hawks		
/boxscores/201312020UTA.html	9:00 pm	Utah Jazz		Houston Rockets		
/boxscores/201312020WAS.html	7:00 pm	Washington Wizards		Orlando Magic		
/boxscores/201312030BOS.html	7:30 pm	Boston Celtics		Milwaukee Bucks		
/boxscores/201312030BRK.html	7:30 pm	Brooklyn Nets		Denver Nuggets		
/boxscores/201312030DAL.html	8:30 pm	Dallas Mavericks		Charlotte Bobcats		
/boxscores/201312030GSW.html	10:30 pm	Golden State Warriors		Toronto Raptors		
/boxscores/201312030MEM.html	8:00 pm	Memphis Grizzlies		Phoenix Suns		
/boxscores/201312030MIA.html	7:30 pm	Miami Heat		Detroit Pistons		
/boxscores/201312030PHI.html	7:00 pm	Philadelphia 76ers		Orlando Magic		
/boxscores/201312030SAC.html	10:00 pm	Sacramento Kings		Oklahoma City Thunder		
/boxscores/201312040ATL.html	7:30 pm	Atlanta Hawks		Los Angeles Clippers		
/boxscores/201312040CLE.html	7:00 pm	Cleveland Cavaliers		Denver Nuggets		
/boxscores/201312040HOU.html	8:00 pm	Houston Rockets		Phoenix Suns		
/boxscores/201312040MIL.html	8:00 pm	Milwaukee Bucks		Detroit Pistons		
/boxscores/201312040NOP.html	8:00 pm	New Orleans Pelicans		Dallas Mavericks		
/boxscores/201312040POR.html	10:00 pm	Portland Trail Blazers		Oklahoma City Thunder		
/boxscores/201312040UTA.html	9:00 pm	Utah Jazz		Indiana Pacers		
/boxscores/201312050BRK.html	7:00 pm	Brooklyn Nets		New York Knicks		
/boxscores/201312050CHI.html	9:30 pm	Chicago Bulls		Miami Heat		
/boxscores/201312050MEM.html	8:00 pm	Memphis Grizzlies		Los Angeles Clippers		
/boxscores/201312060ATL.html	7:30 pm	Atlanta Hawks		Cleveland Cavaliers		
/boxscores/201312060BOS.html	7:30 pm	Boston Celtics		Denver Nuggets		
/boxscores/201312060CHA.html	7:00 pm	Charlotte Bobcats		Philadelphia 76ers		
/boxscores/201312060HOU.html	8:00 pm	Houston Rockets		Golden State Warriors		
/boxscores/201312060NOP.html	8:00 pm	New Orleans Pelicans		Oklahoma City Thunder		
/boxscores/201312060NYK.html	7:30 pm	New York Knicks		Orlando Magic		
/boxscores/201312060PHO.html	9:00 pm	Phoenix Suns		Toronto Raptors		
/boxscores/201312060POR.html	10:00 pm	Portland Trail Blazers		Utah Jazz		
/boxscores/201312060SAC.html	10:00 pm	Sacramento Kings		Los Angeles Lakers		
/boxscores/201312060WAS.html	7:00 pm	Washington Wizards		Milwaukee Bucks		
/boxscores/201312070CHI.html	8:00 pm	Chicago Bulls		Detroit Pistons		
/boxscores/201312070CLE.html	7:30 pm	Cleveland Cavaliers		Los Angeles Clippers		
/boxscores/201312070MEM.html	8:00 pm	Memphis Grizzlies		Golden State Warriors		
/boxscores/201312070MIL.html	8:30 pm	Milwaukee Bucks		Brooklyn Nets		
/boxscores/201312070MIN.html	8:00 pm	Minnesota Timberwolves		Miami Heat		
